,ID,Date,District,Sector Heading,Sector Text
704,705,12-11-1974,New York,Summary of Economic Activity,the views expressed by second district directors and other business leaders who were contacted recently in general reflected the nationwide slowdown in business activity department store sales have been relatively sluggish for this time of year business inventory policies have become significantly more cautious with some instances of outright liquidation reported shortages of goods and materials have reportedly eased substantially despite the rise in overall unemployment however shortages of skilled workers persistregarding consumer spending the buffalo branch directors on balance felt that the sharp decline in auto sales had not been paralleled in their area by a similar fall in the sale of other major consumer items nevertheless these directors generally agreed that retail sales of nonautomotive durable goods had weakened among other respondents the president of a high quality new york city department store reported that his firms sales had declined in november which is usually a good month and while he expected some improvement in december he looked for christmas sales to be only a little better than last year in dollar terms similar sentiments were expressed by a senior official of a large new york city department store with branches in the suburbs who also expressed concern over the retail sales outlook over the coming months similarly a survey of new york city department stores by a local newspaper revealed that november sales at many of these stores had undergone their worst yeartoyear decline in four years business however has apparently picked up with the advent of the christmas season with observers reporting heavy crowds and good business as noted by several respondents however it appears to be a bargain hunters market with heavy promotion and with many stores holding at this time the usual postchristmas clearance sales of both soft and hard goods similarly many supermarkets have been holding special sales and running advertisements offering discount coupons for selected itemsagainst the background of relatively weak consumer demand there were indications of a reevaluation of inventory policies the buffalo branch directors thus agreed that both retail and manufacturing firms have been attempting to adjust inventory positions downward not only because of the weak retail sales picture but also because of the easing of commodity prices and the high cost of financing inventories the senior official of a large buffalo department store reported that his firm had reduced its onhand inventory and future commitments of apparel about 20 per cent below last years level a move he felt was not unusual for the retail trade industry similarly the two new york city retailers mentioned above reported that their firms were attempting to maintain a lean inventory position a senior official of a nationwide metal processing firm reported his firm was no longer able to sell all it produced a development he felt indicated that the firms customers were drawing down on their existing inventories the chairman of a conglomerate stated his firm was liquidating inventories and would continue to do so it was noted however that while inventories might be too high in some sectors a number of items such as heavy machinery electrical equipment and metal casing still required long order lead timesdistrict construction activity particularly in the new york city area remains at a low ebb although the outlook has brightened somewhat over the past month a survey by a trade association indicates that new york state savings banks experienced moderate net deposits inflows in november following seven consecutive months of net outflows several thrift institution officials in new york have suggested however that these funds would not flow immediately into the mortgage market but would be used initially to rebuild liquidity positionsthe nationwide advance in the unemployment rate was reflected in the reports of several respondents thus the two new york city retailers mentioned above stated their firms were attempting to trim personnel as well as other costs and the chairman of the conglomerate reported his firm was cutting down its sales force the buffalo directors however felt that with the exception of layoffs in the automotive industry employment in general appeared to be holding up well in the upstate new york region and that the supply of skilled labor remained tight in their views there appeared to be no evidence as yet of major layoffs of managerial and professional employees the directors were however concerned that if the economy continues to decline layoffs in the managerial and professional ranks may well occur
717,718,1-15-1975,New York,Summary of Economic Activity,views expressed by second district directors retailers and other business leaders who were contacted recently point to a further slowing in business activity over the past month retail sales in general have been sluggish although strengthening somewhat recently inventories are at or approaching excessive levels and unemployment is on the rise at the same time there has been no lessening of liquidity pressuresretail sales over the holiday season were on the weak side but in many cases no worse than the relatively pessimistic expectations a survey of the seven leading new york city department stores by a local newspaper revealed that in dollar terms december sales by these stores within the city had been slightly below those of december of 1973 implying a significant decline in physical volume sales of major appliances and other durable goods in general were particularly weak dollar sales at those stores suburban branches however were slightly above last years the president of a large rochester department store reported sales by his firm to be in line with his expectations that they would run at about the same level as a year ago in dollar terms similarly a senior official of a large department store chain reported that dollar sales at the firms western new york affiliates in november and december were about equal to those of the year earlier period but that physical volume was about 4 percent lower than during novemberdecember 1973the retail sales picture appears to have brightened somewhat in recent weeks however in response to both prechristmas and the usual postholiday sales thus the president of a nationwide retail firm stated that business during most of the christmas buying season ran significantly below expectations but that as a result of heavy promotional activities the season had ended on a strong note with good traffic continuing after christmas a senior official of a large new york city department store similarly reported that after a slow start business had been brisk in the final days of the holiday season a development also reported by several other retailers among others the president of another large new york department store with branches in the suburbs stated that christmas sales had been up to his expectations and that so far his firms january sales had been producing business and were heavier than in january 1973in the view of several respondents the reduction in consumer demand and the accompanying more competitive selling practices have been reflected in some evidence of downward pressures on prices of finished goods one retailer stated that price reductions for various items were legion within the retail industry generally due to overproduction by manufacturers of dry goods appliances and similar items and to the desire to reduce inventories the respondents however did not regard the decline in a number of raw material prices as having as yet had a significant influence on the price of finished goodsregarding inventory positions the president of the nationwide retail firm mentioned above reported that his firm had been overstocked for several months and was making major efforts to get its inventories into line with consumer demand a senior official of a multinational chemical concern stated that while inventories had not yet built to excessive levels he expected increases during the first half of 1975 the chairman of a large new york city bank looked for inventories to rise sharply in response to falling sales several other respondents however felt that inventories remained at an acceptable levelthe district unemployment situation deteriorated further during the past month particularly in the new york city area and in buffalo the november jobless rate in new york state rose to 66 percent and to 74 percent in new york city december figures are expected to show a substantial further rise there have been frequent reports of layoffs by major firms in various parts of the district and in recent weeks new claims for unemployment insurance benefits in new york state have been among the highest in the nation however the majority of the respondents commenting on the subject as yet discerned little or no easing of the shortage of skilled workers or of highly qualified managerial employees some respondents however did see or expected to see shortly some easing in the situationregarding liquidity positions none of the respondents reported any signs of easing in pressures thus far on the contrary the majority of the buffalo directors felt that conditions were worsening several of these directors noted that in view of the unattractiveness of the bond and equity markets and the lack of access to national money markets generally many businesses in their area were seeking commercial bank loans for working capital or to at least temporarily finance capital expansion others cited the substantial increase in delinquencies on accounts receivables and the increase in the number of bankruptcies
729,730,2-12-1975,New York,Summary of Economic Activity,the picture that emerges from the views expressed by second district directors and other business leaders who were contacted recently is one of further declines in economic activity consumer demand has been generally sluggish although aggressive sales promotions and cutbacks in purchases from suppliers have enabled some merchants to reduce inventories business capital spending plans are being scaled down unemployment is rising rapidly but most respondents have observed little or no moderation in wage demands they did note however some indications of a slowing of the rate of price increasesconcerning consumer spending district retail sales appear to have been running below the nationwide average with the new york city retail sales picture showing particular weakness an official of a trade association thus reported that business at the citys department stores was about 4 percent lower in dollar terms this january than in january 1974 he stated that traffic at the major stores was down significantly and that there seems to be considerably less impulse buying similarly an executive of a high quality new york city department store with branches in the suburbs reported that sales by his firm have been running behind last year in real terms and have been struggling along to maintain the same level in dollar terms he noted however that business was somewhat better at the firms suburban branches some new york city retail merchants did report that sales and promotions have been fairly successful in attracting business these sales have covered a much wider range of merchandise than usual including goods that normally would not be placed on sale until spring and have involved significantly greater price concessions than usual with a resulting decline in profit margins at the same time the respondents reported that merchants have significantly cut their own purchases from their suppliers and that these cutbacks have helped to reduce retail inventories similarly the buffalo branch directors observed that merchants in western new york have met with success in moving goods and in reducing inventories to manageable levels this has been achieved however only through sharp markdowns with correspondingly adverse effects on profitabilityreduced demand according to a number of respondents appears to be putting some downward pressure on prices among others the president of a large nationwide retail organization stated that prices of basic raw materials and of some intermediate goods have softened considerably and that while posted prices of most finished consumer goods were holding firm consumers were benefiting from the sales promotion programs mentioned above the chairman of a large new york city bank stated that there was growing evidence that prices were now rising much less rapidly and that in view of sales promotions and discounting the official price indices were probably overstating the rate of inflation a number of top officials of industrial firms mentioned price reductions in their industries including textiles wood products and some metal products it was also noted however that prices of other products including auto parts paper and certain chemicals were remaining firmconcerning capital spending the respondents in general agreed that the outlook had weakened significantly in recent months among others the new york city banker mentioned above looked for further cutbacks especially in consumer goods industries another director felt that while many businesses are committed to capital programs for 1975 and 1976 they are hesitating to make commitments beyond 1976 at this time the buffalo directors in general agreed that 1975 capital spending plans were sharply cut in the latter part of 1974 in their views firms experiencing drastically reduced sales have no alternative but to further cut back from their planned capital spending during 1975 in order to cope with worsening liquidity problemsunemployment in the second district has continued to rise rapidly new york city northern new jersey and buffalo have been especially hard hit with unemployment rates well above the national average in the view of most respondents however the rise in unemployment has thus far exerted little moderating influence on wage demands this view was summed up by the buffalo branch directors who felt that while rising unemployment may be having a moderating effect on upward wage pressures in nonunionized small to medium sized firms there was no evidence of a less aggressive posture by the large unions representing workers in major industries indeed it was noted that some union leaders are preparing for battle and likely to accuse management of using the current economic slump as the basis for harsh negotiations affording labor less than acceptable contract settlements
741,742,3-12-1975,New York,Summary of Economic Activity,second district directors and other business leaders who were contacted recently on balance took a rather dim view of the nearterm economic outlook but most expected a turnaround in business activity during the later part of 1975 the retail sales picture remained uninspiring particularly in new york city more encouraging was the reported significant reduction in retail inventories and the improvementalbeit limitedin certain manufacturers inventory positions comments regarding business capital outlays reflected a note of caution in that sector there continued to be reports of a softening of prices of certain raw and semifinished products and at the retail level of further price concessions including a spreading of the rebate device the district unemployment rate continues well above the nationwide average although the most acute problems seem to be concentrated in new york city buffalo and northern new jerseynone of the respondents commenting on the swiftness of the deterioration in the economy foresaw a bottomless downward spiral considerable uncertainty however surrounded the timing of the turnaround with the respondents in general looking for a recovery to take place later than suggested by some official forecasts among others the chairman of a large airline stated that at this juncture he saw no indications of a turnaround as yet the chairman of a large metal producing firm expected the upswing to be delayed until the start of the fourth quarter when he looked for an improvement in auto sales as new models were introduced among the buffalo branch directors those from the buffalo area which has been hit especially hard by the downswing felt that it might well be yearend 1975 before the turnaround takes place on the other hand a director from the rochester area where business activity has remained relatively strong expected the turnaround by summer or early fall among other respondents the chairman of a diversified international chemical concern stated that the recession would be worse than had been generally expected and the chairman of a conglomerate stated that he could not get enthusiastic until retail sales picked up and would not predict when that would occurregarding consumer spending new york city department stores following a poor january had another poor month in february similar conditions prevailed in buffalo sales elsewhere in new york state continued to perform somewhat better than in the states two largest cities an official of a trade association reported that while sales at some new york city stores had picked up somewhat business at others had declined and that on balance february sales at city department stores would be somewhat lower in dollar terms than in february 1975 on the brighter side however his impression was that there had been a slight improvement in recent days a view also expressed by some retailers moreover he reported that the merchants he has been in contact with were somewhat more optimistic than last month and looked for an upturn as the spring season gets underwaya number of reports indicate that further progress has been made toward reducing retail inventories in good part reflecting significant cutbacks in merchants purchases from their own suppliers in this context the chairman of a very large new york citybased department store chain with branches across the country stated that while his firm had been badly overstocked last november it has now managed to significantly reduce its inventory position he also felt this was true of the retail industry generally similarly a senior official of another nationwide department store chain stated that as a result of an aggressive reduction program his firms inventories were now 20 percent below their level in the comparable period in 1974 at the manufacturing level the chairman of a chemical firm reported that his firm had reduced inventories to desired levels and the chairman of a health and cosmetics products manufacturer stated that his firm had no overstocking problem another observer noted that while there has been a general attempt by industry to reduce inventories a decline in sales has partly frustrated such efforts in some casesa note of caution characterized comments on capital spending a director stated that businesses were attempting to restore liquidity positions and as a result were scaling down large projects one of the nationwide retail firm officials mentioned above reported that his firm was completing stores at shopping centers that were already on the way but was putting little new on the books one of the metal producers reported that his firm had completed a new aluminum plant but was not putting this plant on stream at this time because of the softening in the demand for aluminum an airline official stated there were 100 to 250 too many jets available for the airline industry he further predicted that the airline industry would show zero profits in 1975regarding prices the nationwide decline in wholesale prices was reflected in reports of price declines for a number of primary products including copper brass fibers and raw materials used in the health and cosmetics industry at the retail level there were further reports of price concessions in connection with promotional activity and of a spreading of the rebate device to such products as cameras sewing machines and home appliances in the new york city area rebates are being offered on purchases of condominiums and on leases of luxury apartmentsthe district unemployment rate continues well above the national average in large part reflecting the high jobless rates in new york city northern new jersey and buffalo the unemployment rate for new york state rose to 93 percent in january it was 106 percent in new york city where many of the citys principal industriessuch as dressmaking printing construction and retail tradeare acutely feeling the downswing in economic activity in buffalo the rate was up to 134 percent reflecting the downturn in the auto steel and machinery industries
753,754,4-9-1975,New York,Summary of Economic Activity,the overall impression that emerges from the responses of second district directors and other business leaders that were contacted recently is a slowing down in the rate of decline in business activity and that the economy might be approaching a bottoming point although retail sales in real terms continued below last years levels retailers reported some improvement in the recent past and in general were cautiously optimistic regarding the outlook for the second half of the year good progress toward the reduction of excessive inventories at the retail as well as at the manufacturing level has apparently been made the majority of the respondents felt that most large cutbacks in business capital spending plans had already occurred and there were scattered indications that housing activity might pick up in the coming monthsviews expressed by retailers regarding consumer spending were mixed but on balance were somewhat more optimistic than in previous months a senior official of a nationwide chain of department stores reported that following a sluggish performance in the first two months of 1975 his firms business had improved somewhat in march possibly because easter came early this year while he did not expect a pronounced improvement over the near term he was hopeful that sales would pick up smartly in the second half of the year especially in the fourth quarter an official of a high quality new york city department store with branches in the suburbs reported that sales over the easter season had been much stronger than expected and expressed guarded optimism regarding the outlook over the coming months similar sentiments were expressed by a number of other retailersthe retailers however in general were not overly sanguine regarding the impact on consumer spending of the tax rebate provided for in the new tax bill the chairman of a large new york city department store did feel that such rebates potentially might have strong psychological impact on consumer attitudes and provide some help to the retail business other respondents however were more restrained one retailer noted that it might have some favorable impact on consumer spending but that it was hard to determine to what extent the buffalo branch directors felt that the restoration of consumer confidence was the key to increased consumer spending and that the new tax bill would be only mildly stimulative despite expected widespread use for debt reductionperhaps the most positive development reported by most respondents was rapid progress made toward reducing excessive inventories at the retail level the official of the nationwide department store chain reported that his firms inventory had been reduced sharply and was not at a desired level and indeed for certain lines somewhat below desired levels he felt that this was true for the retail industry generally and that the firms suppliers at the wholesale as well as the manufacturing level were also making good progress in that direction other retailers reported similar experiences the chairman of a large new york city bank noted that industry had approached the problem of inventory reduction with unusual vigor once it was recognized at the retail level including the auto industry the worst part of the problem should be out of the way by midyear while further reductions at the basic materials level are likely to continue for most of the year a buffalo branch director felt that many industries have now reached their desired inventory levels and that the process should be completed by midyear or before a senior official of another large new york city bank who last month had stated that too many manufacturers were maintaining excessive inventory positions now felt that on the basis of conversations with his banks directors and corporate clients good progress toward reducing such inventories had been made since thenregarding business capital spending the chairman of the new york city bank mentioned above stated that major cutbacks in plans for such outlays probably have already been made such cutbacks were particularly pronounced among utilities and consumer goods related industries capital spending plans in basic materials industries have held up well a situation he expects to continue given the inadequate capacity for the long run in these industries the buffalo branch directors in general considered it unlikely that further large cutbacks in capital spending plans would occur there already has been an intensive reevaluation of such programs and projects which met the more stringent profitability tests would move ahead on schedule the executive vicepresident of a large new york city bank stated that the worst of the cuts in capital spending plans were behind us such cuts were announced at the turn of the year when in his view the economic outlook appeared gloomiest he felt that the atmosphere had now brightened and that the capacity ceiling in a number of industries could be reached again rapidlyconcerning home building activity the buffalo branch directors did not see any signs indicating an early upturn in such activity even though mortgages were more readily available at declining rates in their view the high cost of home ownership and the lack of consumer confidence were major deterrents to an upturn in the housing industry other respondents were slightly more optimistic this attitude was best summed up by an official of a trade association who pointed to the massive inflow of funds into second district thrift institutions and to the easing of mortgage loan terms and reported that some albeit quite limited recovery in new commitments by these institutions was just getting under way he also noted that the inventory of unsold new houses was smaller in new york state than in certain other parts of the country because of the latter situation however he felt that the 2000 tax credit toward the purchase of a new house provided for in the tax bill would have only a limited impact on housing activity in this district
765,766,5-14-1975,New York,Summary of Economic Activity,second district directors and other business leaders who were contacted recently in general were restrained in their assessment of the retail sales picture although some retailers were reported to expect business to pick up in the nottoodistant future views were mixed regarding the outlook for consumer prices some businessmen indicated an inclination to raise prices by cutting production if necessary while some others expected reduced demand and excess capacity to exert downward pressure on prices the respondents generally agreed that good progress was being made toward reducing inventories to desired levelsthe buffalo branch directors in general felt that the demand for automobiles and other consumer durable goods would remain depressed through the rest of the year and perhaps into 1976 these poor prospects were attributed to the continued lack of consumer confidence high prices unemployment and in the case of appliances to the questionable outlook for an upturn in homebuilding during the balance of the year several of the respondents were also restrained in their assessment of the current retail sales picture a survey of new york citys major department stores conducted by a local newspaper revealed that these stores in april had suffered the biggest yeartoyear decline in sales in five years reflecting in part cool and rainy weather conditions as well as high unemployment in the city on the brighter side retailers were reported to be generally optimistic and to believe that business in the city must pick up soon in this context another respondent expressed the belief that consumers were reaching the end of stretching out their inventories of automobiles appliances and other goods a development he felt was a good sign for the economy generallyregarding the outlook for prices a senior official of a large new york city bank felt that most manufacturers and processors wished to maintain their current prices even if this means cutting production in the face of reduced demand the president of a large textile concern indicated that his company intends to increase its prices when it has the opportunity several other respondents expressed similar intentions on the other hand the buffalo branch directors and several other businessmen looked for continuing downward pressure on retail prices throughout most of 1975 in their view reduced demand and unutilized capacity should lead to heightened competition which in turn should be manifested in lower pricesthe respondents on balance agreed that although many businessmen do not yet feel comfortable with the current level of their inventories a good deal of progress has been made in reducing such inventories to acceptable levels indeed a number of respondents reported that in the case of their own firms or industries desired levels had already been attained or soon would be reached thus among others the president of a large chain of department stores reported that his firms inventories were now in line with estimated sales a senior official of another retail concern reported his firms inventories to be down 15 to 20 percent from a year ago an upstate new york businessman stated that some retailers in his area report low inventory levels another director commenting about the automobile parts industry noted that inventories of finished goods in that industry have now reached nearly acceptable levels and that stocks of raw materials would probably be worked down to desired levels within the next two months
777,778,6-11-1975,New York,Summary of Economic Activity,the overall picture that emerges from the views expressed by second district directors and other business leaders who were contacted recently is one of a further moderation in the rate of the economic decline if not of an actual turnaround retail sales rose strongly in may further progress has been made toward reducing inventories and district crop prospects look good the auto and construction industries continue to display weakness however and the demand for bank credit remains softthe retail sales picture brightened considerably over the past month according to a survey by a local newspaper sales at major new york city department stores which had been running below last years levels during the first four months of this year were nearly 4 percent higher this may than in may 1974 while retail sales for the entire metropolitan area were 54 percent higher than a year ago according to an official of a trade association new york city area merchants have become markedly more optimistic on the basis of his contacts with local retail firms he reported that while the may increase was in good part accounted for by increased apparel sales sales of major appliances and furniture had also increased he felt that the improved retail sales atmosphere was due largely to a strengthening in consumer confidence with the tax rebates playing only a minor part the president of a nationwide department store chain felt that consumer purchases of durable goods would likely increase as economic recovery takes hold a sentiment shared by other respondents the buffalo branch directors reported strong retail sales in western new york in may in some areas as high as 15 percent above a year ago and expressed optimism that consumer spending would remain strong at least through early summer the respondents however were generally cautious regarding the nearterm outlook for automobile sales several businessmen expressed the view that auto sales might not improve significantly until the introduction of the 1976 models the president of a large steel firm stated that he was cautious regarding auto sales but he noted that millions of autos continue to be scrapped yearly and that a hidden demand must be building upregarding inventories the retailers reported a substantial decline from high levels at the turn of the year although the president of the department store chain mentioned above felt that durable goods inventories remained high the president of a steel corporation reported that his firm was reducing its stocks on hand and that the firms customers have rapidly reduced their inventories which should be at normal levels by the beginning of july the president of a nonferrous metals producer on the other hand observed that despite inventory liquidation stocks of metals other than steel remain at high levels among senior officials in the chemicals industry several reported inventories under control although one felt that his firms stocks were still too highturning to agriculture a buffalo branch director with farming interests reported that spring weather conditions have been ideal for crop planting if the favorable weather conditions continue through harvest time the prospects are for very high yields in most crops the high yields are expected to result in lower prices in general except for certain vegetable crops where the carryover from last year was particularly low beef prices are expected to remain strong but lower prices are anticipated for eggs and poultry productson the darker side none of the respondents expressing views on the subject were optimistic over the nearterm outlook for the construction industry among others a senior official of a large new york city area savings bank reported that as a result of a large inflow of deposits in recent months his bank had much more funds available for mortgages than there was demand for such funds and he did not expect a turnaround in construction activity for at least four to five months some observers noted the recent tendency of depositors to shun higheryielding certificates of deposit in favor of regular savings accounts suggesting that they may be building up liquidity for withdrawal in the near term the buffalo branch directors generally felt that the 5 percent tax credit and the large inflow of savings deposits had not provided a stimulus to residential construction sufficient to overcome the depressing effects of the uncertainties arising from current economic conditions and high construction costs they expected a gradual recovery in the housing sector but felt a quick return to the high levels of 1972 and 1973 does not seem likely
790,791,7-9-1975,New York,Summary of Economic Activity,second district retail sales developments have turned mixed since the vast improvement witnessed in may while some retailers report continued strong sales a number of them have apparently experienced some slippage in sales for the most part district retailers are comfortable with the current level of their inventories excessive stocks persist in a number of lines at the manufacturing level however most industry observers remain gloomy about the outlook for residential construction in spite of the pickup in sales of new homes regarding the price outlook a number of respondents were fairly optimistic that price increases will be restrained in the near term but many expressed fears of a resurgence of inflationary pressures over the longer runrecently we asked our directors and a number of other business leaders about their opinions on the danger of a nearterm resurgence of inflation in view of the apparent bottomingout of the recession most respondents felt that for the near term high levels of unused human and capital resources will help to restrain price increases there was a strong undercurrent of apprehension about the longer run price outlook however with particular concern voiced over excessively stimulative fiscal policies for example the president of a large chemical firm felt that while a nearterm resurgence of inflation was a possibility his real concern was over the longer term similar sentiments were expressed by the buffalo branch directors among other respondents the president of a large department store chain stated he expected some firming of prices by yearend while another observer felt that wholesale prices for many industrial goods were bound to rise in order to cover rising costs the chairman of a multinational oil company expressed the fear that excessively expansionary fiscal measures to stimulate the economy might reignite inflationary pressures similarly a senior official of a large new york city securities firm stated that his greatest concern was fear of renewed inflationary pressures under the impact of massive budget deficits and union demands for large wage increasesthe district retail sales picture has turned mixed in the wake of the almost uniformly buoyant sales in may most of the respondents commenting on developments in the upstate new york region reported that retail sales in june had run 3 to 7 percent below sales in the comparable period a year ago although some reported sales continuing above yearearlier levels similarly sales at most new york city department stores after improving strongly in may apparently fell back in june in some cases to levels below those of 1974 on the other hand the chairman of the new york outlet of a nationwide department store chain characterized the sales picture as very good not only at the new york store but nationally the president of another large department store chain observed a continuation of the improved sales at his firm that had begun in may he expressed the view that this continued improvement heralded the longawaited upturn in consumer spendingregarding inventories a number of respondents felt that the liquidation of stocks at the retail level had about run its course indeed one retailer expressed the belief that most retailers had been understocked since february there were however reports of continued inventory excesses at the manufacturing level for example one director noted that steel inventories still remained at a high level as well as those of textile fibers the president of a nonferrous metal firm reported that there were still significant inventories of metals and metal products the buffalo branch directors felt that while inventories in general have been reduced to acceptable levels spotty excesses still prevailed in some lines including certain agricultural products furniture and new automobilesthe respondents in general were less than sanguine regarding the residential construction picture several noted the recent improvement in sales of newly built homes but qualified their remarks by pointing out that such sales were still below those of the comparable period last year a director felt that a gradual improvement in housing demand would continue but that it would take a long time before housing starts reach two million units annually again an upstate banker expressed the belief that the residential construction industry was still a long way from being in good health and a senior official of a large thrift institution felt that an upturn in housing was not yet in sight because of the high cost of construction
802,803,8-13-1975,New York,Summary of Economic Activity,recent observations by second district directors and other business leaders indicate a continuation of the gradual improvement in business conditions noted in recent months retail sales in july were generally stronger than in june and there were some indications that retailers were starting to replenish inventories at least in a small way there continued to be reports of excessive inventories at the manufacturing level but the list of items in excess supply has narrowed substantially the demand for business loans at banks has shown little buoyancy as yet but some indications of a forthcoming strengthening of loan demand were noted regarding wages the respondents generally expected this years increases to be smaller than last yearsretail sales have strengthened somewhat over the past several weeks despite considerable rain and unseasonably cool weather through most of july sales at most major new york city department stores were slightly higher than in july 1974 with an even stronger performance shown by stores in the suburbs in june sales in the metropolitan area had been lower than in the comparable period last year similarly the retail sales picture in upstate new york was reported to be brighter than in june with sales also running above last years levelviews on retailers inventory policies were mixed the president of a large nationwide department store chain reported that efforts to build up inventories have begun although as yet only to a limited extent similarly the president of an upstate department store stated that to a small extent retailers in his area were building up inventories a senior official of a conglomerate felt that on the basis of his firms sales merchants were cautiously building up inventories of apparel automobile parts and accessories and more aggressively storm doors thermopane windows and similar items the president of a nonferrous metal firm reported increased sales of his firms kitchen utensils line and believed that in general retailers were relaxing their inventory policies one director on the other hand stated that retailers were still maintaining a relatively conservative approach in their inventory policies similarly the buffalo branch directors saw no evidence of efforts to build up retail inventories in western new york but rather felt that the emphasis continued to be on inventory reductions and improved inventory controlsthere were some indications of continued excessive inventories at the manufacturing level for example the chairman of a large new york city bank stated that in some cases inventories of materials used in the production of durable goods remained excessive the president of the metal firm mentioned above reported excessive inventories in the electrical goods industry and among aluminum producersalthough not among the latters customers other respondents cited instances of still excessive inventories of various items including steel zinc canned food and furniturethe respondents in general reported little increase in business demand for bank loans but some very tentative indications of a forthcoming strengthening of demand were noted for example the chairman of a major new york city bank observed some increase in requests for longterm loan commitments on the other hand a director observed that many companies were seeking to stretch out repayments of outstanding loans rather than enlarging their lines of credit however an upstate new york banker reported a small firming of loan demand at his bank and a new jersey banker noted a modest increase in construction loans at the same time several respondents opined that the resumption of inventory accumulation in some lines will result in stronger loan demand before longregarding the wage picture virtually all respondents agreed that wage increases would be more moderate this year than last year particularly but not exclusively for nonunion workers among others an official of a conglomerate stated that workers were dreadfully afraid to be laid off and that this would be reflected in substantially more moderate wage demands than last year the president of a rochester department store definitely expected weaker labor demands buffalo branch directors cited instances where employees have foregone wage increases to preserve jobs
815,816,9-10-1975,New York,Summary of Economic Activity,the gradual improvement in business conditions indicated in recent months by observations of second district directors and other business leaders remains in evidence according to our respondents the retail sales picture continued to improve in august and early september and some retailers reported they were now understocked in some lines business capital spending however remains weak the weakening of business loan demand in the district appears to have abated and most loan officers contacted recently looked for a pickup in demand in the near future the strengthening of the dollar on the foreign exchange market in general was believed to be likely to have little impact on u s tradeperhaps the brightest spot in the current economic situation has been continued improvement in the retail sales picture the president of a nationwide chain of department stores reported that his firm had cashed many federal income tax rebate checks while this suggested that a large part of the rebates was spent rather than saved the retailer anticipated consumer demand for general merchandise to continue to rise well into 1976 he reported that his company which had experienced a large inventory overhang a few months ago was now understocked in apparel lines retail sales in upstate new york which already had been picking up in recent months improved further in august and resort areas were reported to have had a very good tourist season although retail sales in new york city continued to lag behind the nationwide performance reflecting in part the high rate of unemployment in the city sales at large department stores showed the best improvement since september 1974 this improvement moreover appears to have continued in early september merchants were generally optimistic and reported very good business over the labor day holiday when many large department stores remained open an even better performance was shown over the past month at stores in the suburbson the darker side business spending on plant and equipment apparently remains weak for example the president of the department store mentioned above saw no evidence of a reactivation of capital spending plans in his industry noting that the current emphasis was on increasing the productivity of existing facilities rather than on expansion the chairman of a multinational oil company stated that business capital spending in general appeared to be lower than had been expected last spring he reported that his own firm had cut its investment plans for 1975 by 100 million before the year began and by another 300 million in january because of deteriorating profits the buffalo branch directors also saw no evidence of a reactivation of capital spending plans that had previously been shelved with one director citing continued excess capacity escalating building costs and relatively high interest rates as factors inhibiting capital spending an upstate banker in a resort area however reported on plans for expansion of tourist facilitiesa number of respondents expressed concern over a possible resurgence of inflation among others the president of a large nonferrous metal firm stated he was fearful about inflation he pointed to the currently low pricecost ratio in his industry and to the large proportion of capital spending for environmental protection adding nothing to productive capacity these factors he felt would put upward pressure on materials prices the chairman of the oil company felt that the current spending pattern with consumers outlays rising while business capital spending was not could well have inflationary implications and the buffalo branch directors believed that fear of a resurgence of inflation was a major factor behind businessmens currently cautious moodregarding the demand for business loans the buffalo branch directors reported no further weakening in such demand as did the majority of the loan officers at commercial banks in and outside new york city who were contacted recently moreover nearly twothirds of these loan officers expected loan demand to be stronger over the coming months with virtually all others anticipating no changewe recently asked our directors and other respondents about their opinions regarding the possible impact on united states foreign trade stemming from the strengthening of the dollar on the exchange markets most respondents felt that this impact would be negligible they agreed that this strengthening had not significantly eroded the competitiveness of u s exports to date and was not likely to do so in the future and that imports would not be spurred significantly in their opinion u s prices of goods continue to be attractive visavis those of foreign goods because of the greater rates of inflation experienced by many other countries a senior economist at a large new york city bank stated that the strength of the dollar in recent months was only a rebound from an undervalued position the present rate in his view is nearer the equilibrium rate and is more desirable over the longer run the chairman of the oil company thought that the strengthening of the dollar should make opec countries less aggressive in raising oil prices this fall the president of the nonferrous metal concern however believed the stronger dollar to have been a factor in the increase in aluminum and stainless steel imports
